,ランク,タイトル,週間,合計
0,1,あつまれ どうぶつの森,102749,4685419
1,2,ゼノブレイド ディフィニティブ・エディション,90789,90789
2,3,リングフィット アドベンチャー,39518,956559
3,4,英雄伝説 碧の軌跡：改,12047,12047
4,5,マリオカート8 デラックス,10415,2965844
5,6,スプラトゥーン2,10041,3437424
6,7,うたの☆プリンスさまっ♪ Amazing Aria＆Sweet Serenade LOVE for Nintendo Switch,9216,9216
7,8,BAYONETTA＆VANQUISH,7397,7397
8,9,大乱闘スマッシュブラザーズ SPECIAL,7262,3711072
9,10,Minecraft,6741,1399850
10,11,スーパー マリオパーティ,5827,1456920
11,12,ポケットモンスター ソード・シールド,5707,3607959
12,13,ファイナルファンタジーVII リメイク,5048,919287
13,14,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,4964,239699
14,15,ゼルダの伝説 ブレス オブ ザ ワイルド,3338,1590728
15,16,スーパーマリオメーカー2,3108,919001
16,17,グランド・セフト・オートV：プレミアム・オンラインエディション（再廉価版）,3062,57288
17,18,New スーパーマリオブラザーズ U デラックス,3031,847090
18,19,聖剣伝説3 トライアルズ オブ マナ(NSw),2996,96809
19,20,聖剣伝説3 トライアルズ オブ マナ(PS4),2973,129811
20,21,DAIROKU： AYAKASHIMORI,2457,2457
21,22,ドラゴンクエストXI　過ぎ去りし時を求めて S,2277,522970
22,23,ルイージマンション3,2249,647434
23,24,とびだせ どうぶつの森 amiibo＋,2155,508923
24,25,モンスターハンターワールド：アイスボーン マスターエディション,1968,473895
25,26,ドラゴンクエストX　オールインワンパッケージ version 1-5,1954,10385
26,27,The Last of Us Remastered（ラスト・オブ・アス リマスタード）（PlayStation Hits）,1905,77761
27,28,釣りスピリッツ Nintendo Switchバージョン,1838,440969
28,29,Fit Boxing,1833,110521
29,30,ポケモン不思議のダンジョン 救助隊DX,1778,255177
