,ランク,タイトル,週間,合計
0,1,ルーンファクトリー5,102853,102853
1,2,Miitopia,72725,72725
2,3,モンスターハンターライズ,26253,2201869
3,4,リングフィット アドベンチャー,18623,2586777
4,5,バイオハザード　ヴィレッジ(PS4),16332,162548
5,6,アンジェリーク ルミナライズ,12844,12844
6,7,桃太郎電鉄 ～昭和 平成 令和も定番！～,11401,2191728
7,8,Minecraft,10361,1960244
8,9,スーパーマリオ 3Dワールド ＋ フューリーワールド,10207,749349
9,10,New ポケモンスナップ,9767,221745
10,11,マリオカート8 デラックス,9289,3844200
11,12,大航海時代IV with パワーアップキット HD Version,6865,6865
12,13,大乱闘スマッシュブラザーズ SPECIAL,6679,4285272
13,14,あつまれ どうぶつの森,6261,6778146
14,15,AKIBA’S TRIP ファーストメモリー(NSw),5558,5558
15,16,スーパー マリオパーティ,4960,1893317
16,17,AKIBA’S TRIP ファーストメモリー(PS4),4888,4888
17,18,世界のアソビ大全51,4869,710549
18,19,スプラトゥーン2,4349,3868221
19,20,ポケットモンスター ソード・シールド,3649,4052668
20,21,フィットボクシング2 -リズム＆エクササイズ-,3418,101705
21,22,バイオハザード　ヴィレッジ(PS5),3377,48173
22,23,NieR Replicant ver.1.22474487139...,3087,154203
23,24,JUDGE EYES：死神の遺言（新価格版）,3053,15668
24,25,スーパーマリオ 3Dコレクション,2877,591417
25,26,ファミコン探偵倶楽部 消えた後継者・うしろに立つ少女 COLLECTOR’S EDITION,2864,15133
26,27,ゼルダの伝説 ブレス オブ ザ ワイルド,2013,1818207
27,28,JUDGE EYES：死神の遺言 Remastered,1658,14749
28,29,ヒューマン フォール フラット,1576,149905
29,30,太鼓の達人 Nintendo Switchば～じょん！,1522,595771
