,タイトル,週間,合計
0,リングフィット アドベンチャー ,30111 ,652757
1,ポケットモンスター ソード・シールド ,29429 ,3379737
2,龍が如く7 光と闇の行方 ,21158 ,217870
3,ドラゴンボールZ KAKAROT ,13866 ,129072
4,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング ,11958 ,132531
5,大乱闘スマッシュブラザーズ SPECIAL ,10592 ,3543321
6,Minecraft ,10067 ,1243560
7,マリオカート8 デラックス ,9810 ,2756492
8,スーパー マリオパーティ ,5781 ,1330145
9,スプラトゥーン2 ,5640 ,3306848
