,タイトル,週間,合計
0,初音ミク プロジェクト ディーヴァ メガミックス ,53606 ,53606
1,ポケットモンスター ソード・シールド ,24534 ,3427385
2,グランブルーファンタジー ヴァーサス ,12165 ,98413
3,Minecraft ,11275 ,1263898
4,リングフィット アドベンチャー ,10238 ,686144
5,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング ,9367 ,151548
6,大乱闘スマッシュブラザーズ SPECIAL ,9155 ,3561812
7,マリオカート8 デラックス ,8548 ,2773951
8,Death end re；Quest2（デス エンド リクエスト2） ,7003 ,7003
9,龍が如く7 光と闇の行方 ,6844 ,235303
