,ランク,タイトル,週間,合計
0,1,あつまれ どうぶつの森,97810,4783229
1,2,世界のアソビ大全51,64443,64443
2,3,リングフィット アドベンチャー,29487,986046
3,4,ゼノブレイド ディフィニティブ・エディション,16786,107575
4,5,九龍妖魔學園紀 ORIGIN OF ADVENTURE,11774,11774
5,6,マリオカート8 デラックス,10883,2976727
6,7,スプラトゥーン2,9226,3446650
7,8,大乱闘スマッシュブラザーズ SPECIAL,7610,3718682
8,9,The Last of Us Remastered（ラスト・オブ・アス リマスタード）（PlayStation Hits）,7210,84971
9,10,Minecraft,7082,1406932
10,11,ポケットモンスター ソード・シールド,6368,3614327
11,12,スーパー マリオパーティ,5563,1462483
12,13,PlayStation VR WORLDS,4529,108879
13,14,ファイナルファンタジーVII リメイク,4404,923691
14,15,グランツーリスモSPORT（PlayStation Hits）,4220,35865
15,16,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,3793,243492
16,17,ゼルダの伝説 ブレス オブ ザ ワイルド,3416,1594144
17,18,ルイージマンション3,3280,650714
18,19,スーパーマリオメーカー2,3203,922204
19,20,グランド・セフト・オートV：プレミアム・オンラインエディション（再廉価版）,2908,60196
20,21,New スーパーマリオブラザーズ U デラックス,2584,849674
21,22,BAYONETTA＆VANQUISH,2505,9902
22,23,Horizon Zero Dawn Complete Edition（PlayStation Hits）,2256,40293
23,24,聖剣伝説3 トライアルズ オブ マナ(PS4),2175,131986
24,25,ドラゴンクエストXI　過ぎ去りし時を求めて S,2174,525144
25,26,聖剣伝説3 トライアルズ オブ マナ(NSw),2080,98889
26,27,英雄伝説 碧の軌跡：改,1905,13952
27,28,とびだせ どうぶつの森 amiibo＋,1782,510705
28,29,モンスターハンターワールド：アイスボーン マスターエディション,1748,475643
29,30,釣りスピリッツ Nintendo Switchバージョン,1737,442706
