,ランク,タイトル,週間,合計
0,1,スーパーマリオ 3Dコレクション,63803,273939
1,2,あつまれ どうぶつの森,29829,5754082
2,3,リングフィット アドベンチャー,25915,1602185
3,4,マリオカート8 デラックス,13470,3184225
4,5,eFootball ウイニングイレブン 2021 SEASON UPDATE,9781,35996
5,6,世界のアソビ大全51,9583,391195
6,7,ポケットモンスター ソード・シールド,7019,3745355
7,8,Minecraft,6979,1512267
8,9,スプラトゥーン2,6329,3570209
9,10,大乱闘スマッシュブラザーズ SPECIAL,6151,3836868
10,11,スーパー マリオパーティ,5938,1560869
11,12,Minecraft Dungeons Hero Edition,5832,23260
12,13,デート・ア・ライブ 蓮ディストピア,5775,5775
13,14,F1 2020,5762,5762
14,15,プロ野球 ファミスタ 2020,4815,19944
15,16,ゼルダの伝説 ブレス オブ ザ ワイルド,4369,1654291
16,17,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,4342,302163
17,18,この素晴らしい世界に祝福を！～この欲望の衣装に寵愛を！～(NSw),4171,4171
18,19,ペーパーマリオ オリガミキング,4024,256899
19,20,New スーパーマリオブラザーズ U デラックス,3991,903423
20,21,明治活劇 ハイカラ流星組 -成敗しませう、世直し稼業-,3948,3948
21,22,eBASEBALLパワフルプロ野球2020(NSw),3718,228076
22,23,Ghost of Tsushima（ゴースト・オブ・ツシマ）,3557,399370
23,24,マフィア トリロジーパック,3404,3404
24,25,この素晴らしい世界に祝福を！～この欲望の衣装に寵愛を！～(PS4),3368,3368
25,26,スーパーマリオメーカー2,2884,968849
26,27,いっしょにあそぼ～♪ コウペンちゃん,2751,2751
27,28,スーパーマリオ オデッセイ,2619,2128596
28,29,釣りスピリッツ Nintendo Switchバージョン,2537,493135
29,30,ヒューマン フォール フラット,2509,35986
