,タイトル,週間,合計
0,ポケットモンスター ソード・シールド ,275959 ,2023043
1,SDガンダム ジージェネレーション クロスレイズ(PS4) ,64538 ,64538
2,SDガンダム ジージェネレーション クロスレイズ(NSw) ,45282 ,45282
3,十三機兵防衛圏 ,34608 ,34608
4,ルイージマンション3 ,26256 ,285175
5,リングフィットアドベンチャー ,22302 ,312383
6,Minecraft ,11084 ,1022756
7,マリオ＆ソニック AT 東京2020オリンピックTM ,10439 ,62021
8,マリオカート8 デラックス ,9834 ,2543292
9,大乱闘スマッシュブラザーズ SPECIAL ,9789 ,3348488
