,ランク,タイトル,週間,合計
0,1,eBASEBALLパワフルプロ野球2020(NSw),94876,94876
1,2,eBASEBALLパワフルプロ野球2020(PS4),91547,91547
2,3,ソードアート・オンライン アリシゼーション リコリス,73331,73331
3,4,あつまれ どうぶつの森,56160,5114386
4,5,リングフィット アドベンチャー,44261,1137060
5,6,世界のアソビ大全51,20094,215305
6,7,マリオカート8 デラックス,10878,3025958
7,8,ポケットモンスター ソード・シールド,7857,3654961
8,9,スプラトゥーン2,7450,3486199
9,10,大乱闘スマッシュブラザーズ SPECIAL,6900,3751780
10,11,Minecraft,5967,1438672
11,12,スーパー マリオパーティ,5331,1486459
12,13,The Last of Us Part II（ラスト・オブ・アス パートII）,4223,218191
13,14,ゼルダの伝説 ブレス オブ ザ ワイルド,3124,1609787
14,15,New スーパーマリオブラザーズ U デラックス,2863,862423
15,16,スーパーマリオメーカー2,2860,936280
16,17,The Last of Us Remastered（ラスト・オブ・アス リマスタード）（PlayStation Hits）,2733,107068
17,18,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,2701,259110
18,19,ゼノブレイド ディフィニティブ・エディション,2327,128989
19,20,ルイージマンション3,2235,662696
20,21,ブレア・ウィッチ 日本語版,2171,2171
21,22,釣りスピリッツ Nintendo Switchバージョン,2110,452409
22,23,ヒューマン フォール フラット,2088,9756
23,24,レムナント：フロム・ジ・アッシュ,2001,24150
24,25,ドラゴンクエストXI　過ぎ去りし時を求めて S,1863,534177
25,26,キャサリン・フルボディ for Nintendo Switch,1855,8772
26,27,ブリガンダイン ルーナジア戦記,1706,21124
27,28,太鼓の達人 Nintendo Switchば〜じょん！,1659,489251
28,29,スーパーマリオ オデッセイ,1654,2109315
29,30,グランド・セフト・オートV：プレミアム・オンラインエディション（再廉価版）,1527,70032
