,タイトル,週間,合計
0,龍が如く7 光と闇の行方 ,39719 ,196712
1,リングフィット アドベンチャー ,39217 ,622646
2,ポケットモンスター ソード・シールド ,37950 ,3350308
3,ドラゴンボールZ KAKAROT ,25669 ,115206
4,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング ,12875 ,120573
5,Minecraft ,10827 ,1233493
6,大乱闘スマッシュブラザーズ SPECIAL ,9927 ,3532729
7,マリオカート8 デラックス ,9008 ,2746682
8,ルイージマンション3 ,6065 ,584812
9,スプラトゥーン2 ,5915 ,3301208
