,タイトル,週間,合計
0,モンスターハンターワールド：アイスボーン マスターエディション ,74165 ,280321
1,eFootball ウイニングイレブン 2020 スタンダード エディション ,58264 ,58264
2,ボーダーランズ3 ,36036 ,36036
3,DAEMON X MACHINA（デモンエクスマキナ） ,28149 ,28149
4,スーパーマリオメーカー ,14512 ,614809
5,モンスターハンターワールド：アイスボーン ,11042 ,55202
6,大乱闘スマッシュブラザーズ SPECIAL ,10298 ,3254114
7,釣りスピリッツ Nintendo Switchバージョン ,8884 ,162038
8,マリオカート8 デラックス ,8568 ,2449023
9,Minecraft ,8051 ,923522
