,タイトル,週間,合計
0,龍が如く7 光と闇の行方 ,156993 ,156993
1,ドラゴンボールZ KAKAROT ,89537 ,89537
2,ポケットモンスター ソード・シールド ,55604 ,3312358
3,リングフィット アドベンチャー ,35860 ,583429
4,三國志14 ,20095 ,20095
5,幻影異聞録♯FE Encore ,18797 ,18797
6,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング ,15790 ,107698
7,Minecraft ,13919 ,1222666
8,マリオカート8 デラックス ,12370 ,2737674
9,大乱闘スマッシュブラザーズ SPECIAL ,12347 ,3522802
