,ランク,タイトル,週間,合計
0,1,あつまれ どうぶつの森,53506,5058226
1,2,世界のアソビ大全51,23591,195211
2,3,リングフィット アドベンチャー,19285,1092799
3,4,マリオカート8 デラックス,10037,3015080
4,5,The Last of Us Part II（ラスト・オブ・アス パートII）,9279,213968
5,6,スプラトゥーン2,8114,3478749
6,7,ポケットモンスター ソード・シールド,8111,3647104
7,8,大乱闘スマッシュブラザーズ SPECIAL,7111,3744880
8,9,キャサリン・フルボディ for Nintendo Switch,6917,6917
9,10,Minecraft,6104,1432705
10,11,スーパー マリオパーティ,4903,1481128
11,12,ブリガンダイン ルーナジア戦記,4176,19418
12,13,The Last of Us Remastered（ラスト・オブ・アス リマスタード）（PlayStation Hits）,3735,104335
13,14,マーベルアイアンマン VR,3358,3358
14,15,ゼルダの伝説 ブレス オブ ザ ワイルド,3223,1606663
15,16,レムナント：フロム・ジ・アッシュ,2905,22149
16,17,ゼノブレイド ディフィニティブ・エディション,2742,126662
17,18,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,2674,256409
18,19,スーパーマリオメーカー2,2547,933420
19,20,ヒューマン フォール フラット,2427,7668
20,21,New スーパーマリオブラザーズ U デラックス,2387,859560
21,22,ルイージマンション3,2224,660461
22,23,ドラゴンクエストXI　過ぎ去りし時を求めて S,2035,532314
23,24,釣りスピリッツ Nintendo Switchバージョン,1830,450299
24,25,グランド・セフト・オートV：プレミアム・オンラインエディション（再廉価版）,1825,68505
25,26,ミスタードリラーアンコール,1705,8366
26,27,ファイナルファンタジーVII リメイク,1656,932821
27,28,太鼓の達人 Nintendo Switchば～じょん！,1543,487592
28,29,Fit Boxing,1527,117712
29,30,モンスターハンターワールド：アイスボーン マスターエディション,1485,480784
