,ランク,タイトル,週間,合計
0,1,桃太郎電鉄 ～昭和 平成 令和も定番！～,56283,1846039
1,2,リングフィット アドベンチャー,30087,2346098
2,3,あつまれ どうぶつの森,19020,6625026
3,4,マリオカート8 デラックス,17699,3656140
4,5,大乱闘スマッシュブラザーズ SPECIAL,12040,4145903
5,6,Minecraft,9692,1806925
6,7,スプラトゥーン2,8619,3771338
7,8,ポケットモンスター ソード・シールド,8298,3955554
8,9,世界のアソビ大全51,7704,630909
9,10,仁王2 Complete Edition,6523,6523
10,11,スーパー マリオパーティ,6503,1818405
11,12,ゼルダの伝説 ブレス オブ ザ ワイルド,5473,1771235
12,13,天穂のサクナヒメ(NSw),4830,133272
13,14,ピクミン3 デラックス,3924,536209
14,15,スーパーマリオ 3Dコレクション,3682,555345
15,16,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,3647,62300
16,17,New スーパーマリオブラザーズ U デラックス,3635,1031494
17,18,ゼルダ無双 厄災の黙示録,3473,341519
18,19,フィットボクシング2 -リズム＆エクササイズ-,3263,67961
19,20,ヒューマン フォール フラット,3060,115405
20,21,バディミッション BOND,2671,9202
21,22,魔界戦記ディスガイア6(PS4),2528,18289
22,23,スーパーマリオ オデッセイ,2408,2208475
23,24,スーパーマリオメーカー2,2279,1065261
24,25,魔界戦記ディスガイア6(NSw),2193,25744
25,26,ドラえもん学習コレクション,2059,2059
26,27,ファミリートレーナー,2039,42525
27,28,天穂のサクナヒメ(PS4),2009,77240
28,29,ポケットモンスター ソード・シールド ＋ エキスパンションパス,1961,196271
29,30,ぷよぷよテトリス2(NSw),1898,89215
