,ランク,タイトル,週間,合計
0,1,桃太郎電鉄 ～昭和 平成 令和も定番！～,87087,1510537
1,2,あつまれ どうぶつの森,45124,6517609
2,3,リングフィット アドベンチャー,44282,2202001
3,4,マリオカート8 デラックス,34027,3575063
4,5,大乱闘スマッシュブラザーズ SPECIAL,24189,4092228
5,6,世界のアソビ大全51,21086,586089
6,7,Minecraft,19933,1760384
7,8,ピクミン3 デラックス,14069,513225
8,9,スプラトゥーン2,13895,3732158
9,10,スーパー マリオパーティ,12885,1787548
10,11,ポケットモンスター ソード・シールド,12057,3919364
11,12,スーパーマリオ 3Dコレクション,11021,536634
12,13,ポケットモンスター ソード・シールド ＋ エキスパンションパス,9661,181784
13,14,天穂のサクナヒメ(NSw),9218,109881
14,15,フィットボクシング2 -リズム＆エクササイズ-,7781,49880
15,16,New スーパーマリオブラザーズ U デラックス,7710,1013202
16,17,ゼルダの伝説 ブレス オブ ザ ワイルド,7305,1748951
17,18,スーパーマリオ オデッセイ,6983,2197429
18,19,ゼルダ無双 厄災の黙示録,6648,326454
19,20,ぷよぷよテトリス2(NSw),6234,77092
20,21,スーパーマリオメーカー2,5249,1054338
21,22,ファミリートレーナー,4860,32053
22,23,ドラゴンクエストXI　過ぎ去りし時を求めて S（新価格版）,4508,46571
23,24,コール オブ デューティ ブラックオプス コールドウォー,4309,162275
24,25,釣りスピリッツ Nintendo Switchバージョン,4048,559406
25,26,ヒューマン フォール フラット,3986,101700
26,27,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,3803,355040
27,28,太鼓の達人 ドコどんRPGパック！,3802,64948
28,29,ダービースタリオン,3745,121740
29,30,ルイージマンション3,3442,737965
