,ランク,タイトル,週間,合計
0,1,New ポケモンスナップ,147742,147742
1,2,モンスターハンターライズ,102952,2073323
2,3,スーパーマリオ 3Dワールド ＋ フューリーワールド,27096,701758
3,4,NieR Replicant ver.1.22474487139...,25601,134439
4,5,桃太郎電鉄 ～昭和 平成 令和も定番！～,23774,2148835
5,6,リングフィット アドベンチャー,16928,2539637
6,7,マリオカート8 デラックス,15686,3809638
7,8,Minecraft,13607,1924188
8,9,あつまれ どうぶつの森,11947,6755379
9,10,大乱闘スマッシュブラザーズ SPECIAL,10840,4260336
10,11,スーパー マリオパーティ,9562,1875146
11,12,R-TYPE FINAL 2（アールタイプ ファイナル 2）,8693,8693
12,13,世界のアソビ大全51,7442,692819
13,14,スプラトゥーン2,6629,3852350
14,15,Returnal（リターナル）,6573,6573
15,16,ポケットモンスター ソード・シールド,6547,4039080
16,17,R-TYPE FINAL 2（アールタイプ ファイナル 2）,6452,6452
17,18,JUDGE EYES：死神の遺言（新価格版）,3383,6575
18,19,牧場物語 オリーブタウンと希望の大地,3243,278169
19,20,スーパーマリオメーカー2,2886,1090748
20,21,JUDGE EYES：死神の遺言 Remastered,2881,8420
21,22,ヒューマン フォール フラット,2815,143507
22,23,New スーパーマリオブラザーズ U デラックス,2715,1057247
23,24,ゼルダの伝説 ブレス オブ ザ ワイルド,2697,1811658
24,25,スーパーマリオ オデッセイ,2666,2230196
25,26,リトルナイトメア2(NSw),2445,68859
26,27,フィットボクシング2 -リズム＆エクササイズ-,2288,93822
27,28,太鼓の達人 Nintendo Switchば～じょん！,2231,590126
28,29,釣りスピリッツ Nintendo Switchバージョン,2157,583096
29,30,ルイージマンション3,2155,764258
