,ランク,タイトル,週間,合計
0,1,あつまれ どうぶつの森,36495,5790577
1,2,スーパーマリオ 3Dコレクション,34282,308221
2,3,リングフィット アドベンチャー,33156,1635341
3,4,マリオカート8 デラックス,12270,3196495
4,5,クラッシュ・バンディクー4 とんでもマルチバース,10437,10437
5,6,ポケットモンスター ソード・シールド,7416,3752771
6,7,大乱闘スマッシュブラザーズ SPECIAL,6168,3843036
7,8,世界のアソビ大全51,6143,397338
8,9,Minecraft,5901,1518168
9,10,eFootball ウイニングイレブン 2021 SEASON UPDATE,5492,41488
10,11,スーパー マリオパーティ,5228,1566097
11,12,Star Wars：スコードロン,5114,5114
12,13,スプラトゥーン2,4965,3575174
13,14,ゼルダの伝説 ブレス オブ ザ ワイルド,4509,1658800
14,15,Minecraft Dungeons Hero Edition,4074,27334
15,16,イース・オリジン スペシャルエディション,3674,3674
16,17,イース・オリジン スペシャルエディション,3610,3610
17,18,New スーパーマリオブラザーズ U デラックス,3312,906735
18,19,eBASEBALLパワフルプロ野球2020,3235,231311
19,20,Marvel’s Avengers（アベンジャーズ）,3096,58913
20,21,ペーパーマリオ オリガミキング,2846,259745
21,22,プロ野球 ファミスタ 2020,2816,22760
22,23,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,2654,304817
23,24,スーパーマリオメーカー2,2573,971422
24,25,Ghost of Tsushima（ゴースト・オブ・ツシマ）,2111,401481
25,26,スーパーマリオ オデッセイ,2019,2130615
26,27,釣りスピリッツ Nintendo Switchバージョン,1876,495011
27,28,ヒューマン フォール フラット,1687,37673
28,29,太鼓の達人 Nintendo Switchば～じょん！,1660,517632
29,30,ルイージマンション3,1464,688924
