,ランク,タイトル,週間,合計
0,1,The Last of Us Part II（ラスト・オブ・アス パートII）,178696,178696
1,2,あつまれ どうぶつの森,73680,4934168
2,3,世界のアソビ大全51,32673,144297
3,4,リングフィット アドベンチャー,32663,1038732
4,5,遙かなる時空の中で7,14062,14062
5,6,ナムコットコレクション,9532,9532
6,7,マリオカート8 デラックス,9251,2995705
7,8,ポケットモンスター ソード・シールド,9195,3630263
8,9,スプラトゥーン2,7886,3463228
9,10,大乱闘スマッシュブラザーズ SPECIAL,6137,3731453
10,11,Minecraft,6067,1419967
11,12,The Last of Us Remastered（ラスト・オブ・アス リマスタード）（PlayStation Hits）,5883,95343
12,13,ゼノブレイド ディフィニティブ・エディション,4972,120497
13,14,スーパー マリオパーティ,4485,1471823
14,15,東北大学加齢医学研究所 川島隆太教授監修 脳を鍛える大人のNintendo Switchトレーニング,3494,250565
15,16,ゼルダの伝説 ブレス オブ ザ ワイルド,3043,1600539
16,17,スーパーマリオメーカー2,2848,928253
17,18,Zumba de 脂肪燃焼！,2590,2590
18,19,ルイージマンション3,2548,655982
19,20,New スーパーマリオブラザーズ U デラックス,2486,854682
20,21,ファイナルファンタジーVII リメイク,2383,929239
21,22,グランド・セフト・オートV：プレミアム・オンラインエディション（再廉価版）,2176,64732
22,23,釣りスピリッツ Nintendo Switchバージョン,1918,446536
23,24,VARIABLE BARRICADE NS,1876,1876
24,25,ドラゴンクエストXI　過ぎ去りし時を求めて S,1715,528651
25,26,ことばのパズル もじぴったんアンコール,1578,25487
26,27,スーパーマリオ オデッセイ,1465,2104701
27,28,太鼓の達人 Nintendo Switchば～じょん！,1456,484562
28,29,とびだせ どうぶつの森 amiibo＋,1329,513607
29,30,ポケモン不思議のダンジョン 救助隊DX,1328,259513
