,ランク,タイトル,週間,合計
0,1,マリオゴルフ スーパーラッシュ,80430,80430
1,2,戦国無双5(PS4),55675,55675
2,3,戦国無双5(NSw),38691,38691
3,4,ナビつき！ つくってわかる はじめてゲームプログラミング,23280,126008
4,5,SCARLET NEXUS（スカーレットネクサス）(PS4),20160,20160
5,6,リングフィット アドベンチャー,13756,2654669
6,7,Minecraft,11888,2019432
7,8,那由多の軌跡：改,11230,11230
8,9,SCARLET NEXUS（スカーレットネクサス）(PS5),11008,11008
9,10,Caligula2(NSw),10243,10243
10,11,Miitopia,10054,169640
11,12,桃太郎電鉄 ～昭和 平成 令和も定番！～,8540,2242440
12,13,Caligula2(PS4),8454,8454
13,14,マリオカート8 デラックス,8277,3888483
14,15,モンスターハンターライズ,7522,2272644
15,16,スーパーマリオ 3Dワールド ＋ フューリーワールド,6430,790477
16,17,大乱闘スマッシュブラザーズ SPECIAL,6062,4318560
17,18,あつまれ どうぶつの森,5593,6807289
18,19,わるい王様とりっぱな勇者(NSw),5433,5433
19,20,New ポケモンスナップ,5384,248991
20,21,世界のアソビ大全51,4531,734237
21,22,スーパー マリオパーティ,4459,1918488
22,23,剣が君 for S,3981,3981
23,24,Rust,3671,3671
24,25,スプラトゥーン2,3630,3888454
25,26,ポケットモンスター ソード・シールド,3629,4071349
26,27,バイオハザード　ヴィレッジ,2803,189718
27,28,ゼルダの伝説 ブレス オブ ザ ワイルド,2617,1829389
28,29,わるい王様とりっぱな勇者(PS4),2533,2533
29,30,フィットボクシング2 -リズム＆エクササイズ-,2402,113707
