,タイトル,週間,合計
0,ポケットモンスター ソード・シールド ,231578 ,2456459
1,新サクラ大戦 ,140376 ,140376
2,リングフィットアドベンチャー ,57746 ,386257
3,ルイージマンション3 ,48449 ,367746
4,マリオ＆ソニック AT 東京2020オリンピックTM ,26677 ,103857
5,Minecraft ,25036 ,1063127
6,マリオカート8 デラックス ,22376 ,2580291
7,大乱闘スマッシュブラザーズ SPECIAL ,21135 ,3383582
8,釣りスピリッツ Nintendo Switchバージョン ,20932 ,264845
9,スーパーマリオメーカー2 ,19466 ,739734
