,period,count_cum
173,2020.07.03_2020-07-09,2086
174,2020.07.10_2020-07-16,2103
175,2020.07.17_2020-07-23,2115
176,2020.07.24_2020-07-30,2135
177,2020.07.31_2020-08-06,2155
178,2020.08.07_2020-08-13,2157
179,2020.08.14_2020-08-20,2175
180,2020.08.21_2020-08-27,2200
181,2020.08.28_2020-09-03,2211
182,2020.09.04_2020-09-10,2227
183,2020.09.11_2020-09-17,2246
184,2020.09.18_2020-09-24,2275
185,2020.09.25_2020-10-01,2289
186,2020.10.02_2020-10-08,2304
187,2020.10.09_2020-10-15,2326
188,2020.10.16_2020-10-22,2350
189,2020.10.23_2020-10-29,2383
190,2020.10.30_2020-11-05,2405
191,2020.11.06_2020-11-12,2427
192,2020.11.13_2020-11-19,2451
193,2020.11.20_2020-11-26,2484
194,2020.11.27_2020-12-03,2517
195,2020.12.04_2020-12-10,2534
196,2020.12.11_2020-12-17,2574
197,2020.12.18_2020-12-24,2600
198,2020.12.25_2020-12-31,2607
199,2021.01.01_2021-01-07,2619
200,2021.01.08_2021-01-14,2635
201,2021.01.15_2021-01-21,2656
202,2021.01.22_2021-01-28,2686
203,2021.01.29_2021-02-04,2710
204,2021.02.05_2021-02-11,2717
205,2021.02.12_2021-02-18,2745
206,2021.02.19_2021-02-25,2781
207,2021.02.26_2021-03-04,2809
208,2021.03.05_2021-03-11,2829
209,2021.03.12_2021-03-18,2875
210,2021.03.19_2021-03-25,2920
211,2021.03.26_2021-04-01,2947
212,2021.04.02_2021-04-08,2977
213,2021.04.09_2021-04-15,3003
214,2021.04.16_2021-04-22,3043
215,2021.04.23_2021-04-29,3063
216,2021.04.30_2021-05-06,3082
217,2021.05.07_2021-05-13,3104
218,2021.05.14_2021-05-20,3144
219,2021.05.21_2021-05-27,3180
220,2021.05.28_2021-06-03,3217
221,2021.06.04_2021-06-10,3245
222,2021.06.18_2021-06-24,3289
223,2021.06.25_2021-07-01,3318
224,2021.07.02_2021-07-08,3339
225,2021.07.09_2021-07-15,3371
226,2021.07.16_2021-07-22,3390
227,2021.07.23_2021-07-29,3435
228,2021.07.30_2021-08-05,3464
229,2021.08.06_2021-08-12,3473
