,title,date
0,ゼルダの伝説　ブレス オブ ザ ワイルド,2017.3.3
1,1-2-Switch（ワンツースイッチ）,2017.3.3
2,いっしょにチョキッと スニッパーズ,2017.3.3
3,ブラスターマスター ゼロ,2017.3.3
4,新大開拓時代 ～街をつくろう～,2017.3.3
5,ぷよぷよ™テトリス®Ｓ スペシャルプライス,2017.3.3
6,スーパーボンバーマン Ｒ,2017.3.3
7,VOEZ,2017.3.3
8,アケアカNEOGEO ザ・キング・オブ・ファイターズ '98,2017.3.3
9,アケアカNEOGEO わくわく7,2017.3.3
10,アケアカNEOGEO ショックトルーパーズ,2017.3.3
11,アケアカNEOGEO ワールドヒーローズパーフェクト,2017.3.3
12,アケアカNEOGEO メタルスラッグ3,2017.3.3
13,いけにえと雪のセツナ,2017.3.3
14,ドラゴンクエストヒーローズI・II for Nintendo Switch,2017.3.3
15,信長の野望・創造 with パワーアップキット,2017.3.3
16,そるだむ 開花宣言,2017.3.3
17,空飛ぶブンブンバーン,2017.3.3
18,オセロ,2017.3.3
19,魔界戦記ディスガイア5,2017.3.3
20,アケアカNEOGEO NAM-1975,2017.3.9
21,アケアカNEOGEO ザ・キング・オブ・ファイターズ '94,2017.3.16
22,アケアカNEOGEO ビッグトーナメントゴルフ,2017.3.23
23,三國志13 with パワーアップキット,2017.3.30
24,アケアカNEOGEO メタルスラッグ,2017.3.30
25,アケアカNEOGEO ASO II 〜ラストガーディアン〜,2017.4.6
26,アケアカNEOGEO サムライスピリッツ 天草降臨,2017.4.13
27,メゾン・ド・魔王,2017.4.13
28,神巫女 -カミコ-,2017.4.13
29,Wonder Boy: The Dragon's Trap,2017.4.18
30,みんなでワイワイ！スペランカー,2017.4.20
31,アケアカNEOGEO　餓狼伝説 〜宿命の闘い〜,2017.4.20
32,銀星将棋 強天怒闘風雷神,2017.4.27
33,アケアカNEOGEO オーバートップ,2017.4.27
34,マリオカート８ デラックス,2017.4.28
35,TumbleSeed,2017.5.2
36,アケアカNEOGEO ブレイジングスター,2017.5.2
37,アケアカNEOGEO 餓狼 MARK OF THE WOLVES,2017.5.11
38,ルディミカル♪ 魔神少女音楽外伝,2017.5.11
39,バトルスポーツ めく〜る,2017.5.18
40,THUMPER リズム・バイオレンスゲーム,2017.5.18
41,アケアカNEOGEO ギャラクシーファイト ユニバーサル・ウォーリアーズ,2017.5.18
42,アケアカNEOGEO ザ・キング・オブ・ファイターズ '99,2017.5.25
43,グーの惑星,2017.5.25
44,Mr. Shifty,2017.5.25
45,ウルトラストリートファイターII ザ・ファイナルチャレンジャーズ,2017.5.26
46,ショベルナイト,2017.5.30
47,聖剣伝説COLLECTION,2017.6.1
48,アケアカNEOGEO ラストリゾート,2017.6.1
49,リトルインフェルノ,2017.6.1
50,プランテラ ガーデンライフ DXエディション,2017.6.8
51,アケアカNEOGEO ショックトルーパーズ セカンドスカッド,2017.6.8
52,ヒューマン・リソース・マシーン,2017.6.8
53,アケアカNEOGEO 戦国伝承,2017.6.15
54,マイティガンヴォルト バースト,2017.6.15
55,ARMS,2017.6.16
56,オーシャンホーン - 未知の海にひそむかい物,2017.6.22
57,タッチバトル戦車SP,2017.6.22
58,アケアカNEOGEO 餓狼伝説2 〜新たなる闘い〜,2017.6.22
59,PHOTON³（フォトン・キューブ）,2017.6.29
60,アケアカNEOGEO マジカルドロップ2,2017.6.29
61,GoNNER,2017.6.29
62,レゴ®シティ アンダーカバー,2017.6.29
63,デ・マンボ,2017.6.29
64,デッドハウス 再生,2017.6.29
65,シェフィ−Shephy−,2017.7.6
66,ボクと僕の世界で,2017.7.6
67,アケアカNEOGEO メタルスラッグ 2,2017.7.6
68,IMPLOSION,2017.7.6
69,アケアカNEOGEO 餓狼伝説SPECIAL,2017.7.13
70,niconico,2017.7.13
71,SUPER PING PONG TRICK SHOT,2017.7.13
72,中毒パズル レベルス＋,2017.7.13
73,アケアカNEOGEO サムライスピリッツ,2017.7.20
74,Fate/EXTELLA,2017.7.20
75,BOOST BEAST,2017.7.20
76,カーズ3 勝利への道,2017.7.20
77,密着対戦スピード,2017.7.20
78,バルブ・ボーイ,2017.7.20
79,スプラトゥーン2,2017.7.21
80,アケアカNEOGEO 得点王,2017.7.27
81,Graceful Explosion Machine,2017.7.27
82,ナムコミュージアム (パックマンvs. 持っている人と対戦版),2017.7.28
83,ハイパーフェザーボール,2017.7.28
84,ナムコミュージアム,2017.7.28
85,アケアカNEOGEO ソニックウィングス2,2017.8.3
86,パズルアドベンチャー ブロッくる,2017.8.3
87,レイジングループ,2017.8.3
88,GUNBARICH for Nintendo Switch,2017.8.3
89,STRIKERS1945 for Nintendo Switch,2017.8.3
90,刑事J.B.ハロルドの事件簿　マーダー・クラブ,2017.8.10
91,クエストオブダンジョンズ,2017.8.10
92,Infinite Minigolf (インフィニット ミニゴルフ),2017.8.10
93,アケアカNEOGEO ザ・キング・オブ・ファイターズ 2000,2017.8.10
94,ソニックマニア,2017.8.16
95,アケアカNEOGEO マジシャンロード,2017.8.17
96,アケアカNEOGEO ジョイジョイキッド,2017.8.24
97,ピクセル ライン DX,2017.8.24
98,ONE PIECE アンリミテッドワールド R デラックスエディション,2017.8.24
99,Sky Ride,2017.8.24
100,モンスターハンターダブルクロス™ Nintendo Switch Ver.,2017.8.25
101,よるのないくに２ ～新月の花嫁～,2017.8.31
102,蒼き雷霆 ガンヴォルト ストライカーパック,2017.8.31
103,リーグ オブ イーブル,2017.8.31
104,アケアカNEOGEO 作戦名ラグナロク,2017.8.31
105,Has-Been Heroes,2017.8.31
106,アケアカNEOGEO ラギ,2017.9.7
107,密着対戦2048,2017.9.7
108,ドラゴンボール ゼノバース２ for Nintendo Switch,2017.9.7
109,翔べよ!!ドラゴン！,2017.9.7
110,ダブルドラゴン４,2017.9.7
111,Champion Jockey Special,2017.9.14
112,Kingdom: New Lands,2017.9.14
113,PAN-PAN～ちっちゃな大冒険～,2017.9.14
114,アケアカNEOGEO ミラクルアドベンチャー,2017.9.14
115,FAST RMX,2017.9.14
116,ドラゴンクエストⅩ　オンライン,2017.9.21
117,アケアカNEOGEO 龍虎の拳,2017.9.21
118,DEEMO,2017.9.21
119,ぺんぎんくんギラギラWARS,2017.9.21
120,ポッ拳　POKKÉN TOURNAMENT DX,2017.9.22
121,アーケードアーカイブス マリオブラザーズ,2017.9.27
122,ブレイブダンジョン＋魔神少女COMBAT,2017.9.28
123,ファイアーエムブレム無双,2017.9.28
124,INVERSUS Deluxe,2017.9.28
125,ピクロスS,2017.9.28
126,王だぁランド！,2017.9.28
127,アケアカNEOGEO バーニングファイト,2017.9.28
128,密着対戦ピクプレ,2017.9.28
129,謎解きメール,2017.9.28
130,ロストスター,2017.9.28
131,forma.8,2017.9.28
132,Axiom Verge,2017.10.5
133,鯉(KOI),2017.10.5
134,アケアカNEOGEO メタルスラッグX,2017.10.5
135,LOVERS：みんなですすめ！宇宙の旅,2017.10.5
136,LOST SPHEAR,2017.10.12
137,Overcooked® - オーバークック スペシャルエディション,2017.10.12
138,88 Heroes - 98 Heroes Edition,2017.10.12
139,Slime-san: Superslime Edition,2017.10.12
140,アケアカNEOGEO ザ・キング・オブ・ファイターズ '95,2017.10.12
141,アストロデュエルデラックス,2017.10.19
142,Elliot Quest (エリエット・クエスト),2017.10.19
143,アケアカNEOGEO ロボアーミー,2017.10.19
144,レヴナントサーガ,2017.10.19
145,レゴ®ニンジャゴー ムービー ザ・ゲーム,2017.10.19
146,Earth Atlantis,2017.10.19
147,ZOMBIE GOLD RUSH,2017.10.26
148,アケアカNEOGEO ミューテイション・ネイション,2017.10.26
149,Moon Hunters,2017.10.26
150,刑事J.B.ハロルドの事件簿　マンハッタン・レクイエム,2017.10.26
151,スーパーマリオ オデッセイ,2017.10.27
152,Super Beat Sports™,2017.11.2
153,ロロロロ,2017.11.2
154,東方Project『東方紅舞闘V』,2017.11.2
155,アケアカNEOGEO ART OF FIGHTING 龍虎の拳 外伝,2017.11.2
156,Ninja Shodown,2017.11.9
157,The Bridge,2017.11.9
158,ソニックフォース 新価格版,2017.11.9
159,アケアカNEOGEO ダンクドリーム,2017.11.9
160,無双OROCHI２ Ultimate,2017.11.9
161,真・三國無双７ Empires,2017.11.9
162,戦国無双 〜真田丸〜,2017.11.9
163,モノポリー for Nintendo Switch,2017.11.9
164,キャットクエスト,2017.11.9
165,いっしょにチョキッと スニッパーズ プラス,2017.11.10
166,ロケットリーグ®,2017.11.14
167,Lumo,2017.11.16
168,アケアカNEOGEO ファイターズヒストリーダイナマイト,2017.11.16
169,RiME,2017.11.16
170,忘失のイストリア,2017.11.16
171,テスラグラッド,2017.11.16
172,Uurnog Uurnlimited,2017.11.21
173,LEGO®ワールド　目指せマスタービルダー,2017.11.22
174,アケアカNEOGEO サッカーブロール,2017.11.22
175,Battle Chef Brigade,2017.11.23
176,スチームワールドディグ２,2017.11.23
177,キッドトリップ RUN!,2017.11.23
178,タンブルストーン,2017.11.23
179,トランスクリプティッド,2017.11.23
180,シノビリフレ -SENRAN KAGURA-,2017.11.24
181,Semispheres,2017.11.30
182,MUJO,2017.11.30
183,アケアカNEOGEO ワールドヒーローズ,2017.11.30
184,バイオハザード リベレーションズ アンベールド エディション,2017.11.30
185,バイオハザード リベレーションズ2,2017.11.30
186,OPUS-地球計画,2017.11.30
187,信長の野望･大志,2017.11.30
188,アーケードアーカイブス ジッピーレース,2017.11.30
189,Xenoblade2 (ゼノブレイド2),2017.12.1
190,WWE 2K18,2017.12.6
191,カラオケJOYSOUND for Nintendo Switch,2017.12.6
192,Nine Parchments,2017.12.7
193,スプラッシャー,2017.12.7
194,すみっコぐらし　すみっコパークへようこそ,2017.12.7
195,アケアカNEOGEO トップハンター ～ロディー&キャシー～,2017.12.7
196,ファントムブレイカー：バトルグラウンド オーバードライブ,2017.12.7
197,妖談寺,2017.12.7
198,Vostok Inc.,2017.12.7
199,ガンバード for Nintendo Switch,2017.12.7
200,L.A.ノワール,2017.12.7
201,アケアカNEOGEO 幕末浪漫 月華の剣士,2017.12.14
202,遊んで将棋が強くなる！ 銀星将棋DX,2017.12.14
203,Poly Bridge,2017.12.14
204,スクウェアボーイ リベンジファイト,2017.12.14
205,ドラゴンファングZ 竜者ロゼと宿り木の迷宮,2017.12.14
206,RIVE:アルティメットエディション,2017.12.14
207,ROCK'N RACING OFF ROAD DX,2017.12.14
208,ロマンシング サガ2,2017.12.15
209,Brawlout,2017.12.19
210,ママにゲーム隠された,2017.12.21
211,プラチナ・トレイン～日本縦断てつどうの旅～,2017.12.21
212,ONE MORE DUNGEON,2017.12.21
213,サバクのネズミ団！改。,2017.12.21
214,シンプル麻雀オンライン,2017.12.21
215,ワンピース 海賊無双３ デラックスエディション,2017.12.21
216,TINY METAL (タイニーメタル),2017.12.21
217,Enter the Gungeon （エンター・ザ・ガンジョン）,2017.12.21
218,10秒走 RETURNS,2017.12.21
219,『ゴロゴア』(Gorogoa),2017.12.21
220,セクシー・ブルテイル,2017.12.21
221,アケアカNEOGEO パルスター,2017.12.21
222,ナナミと一緒に学ぼ！ TOEIC(R) LISTENING AND READING TEST 完全マスター,2017.12.21
223,アーケードアーカイブス VS.スーパーマリオブラザーズ,2017.12.22
224,L.F.O.　-Lost Future Omega-,2017.12.28
225,アケアカNEOGEO ザ・キング・オブ・ファイターズ '96,2017.12.28
226,ヒューマン フォール フラット,2017.12.28
227,タロミア,2017.12.28
228,スライムの野望,2017.12.28
229,Moorhuhn Knights & Castles モーアフーン ナイツ アンド キャッスル,2017.12.28
230,カイジ～絶望の鉄骨渡り～ for Nintendo Switch,2017.12.28
231,The Next Penelope,2017.12.28
232,不思議の幻想郷TOD -RELOADED-,2017.12.28
233,アケアカNEOGEO キング・オブ・ザ・モンスターズ,2018.1.4
234,お絵かきパズル Pic-a-Pix Deluxe,2018.1.11
235,アケアカNEOGEO 龍虎の拳2,2018.1.11
236,Stardew Valley,2018.1.11
237,マリオ＋ラビッツ キングダムバトル,2018.1.18
238,マーセナリーズサーガ クロニクルズ,2018.1.18
239,アケアカNEOGEO パワースパイクスII,2018.1.18
240,ZERO GUNNER 2- for Nintendo Switch,2018.1.18
241,VVVVVV,2018.1.18
242,迷宮の塔　トレジャーダンジョン,2018.1.18
243,アーケードアーカイブス　ダブルドラゴン,2018.1.18
244,World to the West,2018.1.18
245,Shu（シュウ）,2018.1.23
246,コンバット！ サーチ＆レスキュー,2018.1.25
247,EARTH WARS,2018.1.25
248,テニス,2018.1.25
249,チキチキBOXYRACERS（チキチキボクシーレーサーズ）,2018.1.25
250,ファンタジーヒーロー ～アンサインドレガシー～,2018.1.25
251,アーケードアーカイブス 快傑ヤンチャ丸,2018.1.25
252,Tiny Troopers Joint Ops XL,2018.1.25
253,STRIKERS1945 Ⅱ for Nintendo Switch,2018.1.25
254,アケアカNEOGEO ワールドヒーローズ2,2018.1.25
255,逆転吉原～菊屋編～,2018.1.25
256,レゴ®マーベル スーパー・ヒーローズ2 ザ・ゲーム,2018.2.1
257,アケアカNEOGEO 真サムライスピリッツ 覇王丸地獄変,2018.2.1
258,ガンズゴア＆カノーリ,2018.2.1
259,トルクル(TorqueL) 物理調整版,2018.2.1
260,クリプト・オブ・ネクロダンサー：Nintendo Switch Edition,2018.2.1
261,The Elder Scrolls V: Skyrim®,2018.2.1
262,Dandara,2018.2.6
263,Aegis Defenders,2018.2.8
264,がるメタる！,2018.2.8
265,Cave Story+,2018.2.8
266,ジャンナビ麻雀オンライン,2018.2.8
267,大盛りチャリ走DX,2018.2.8
268,アケアカNEOGEO 2020年スーパーベースボール,2018.2.8
269,アーケードアーカイブス クレイジー・クライマー,2018.2.8
270,Owlboy,2018.2.13
271,THE 密室からの脱出 ～運命をつなぐ35の謎～,2018.2.15
272,アケアカNEOGEO 餓狼伝説3 〜遥かなる闘い〜,2018.2.15
273,BILLIARD,2018.2.15
274,Tower of Babel,2018.2.15
275,戦国エース for Nintendo Switch,2018.2.15
276,Fe,2018.2.16
277,BAYONETTA 2 (ベヨネッタ2),2018.2.17
278,BAYONETTA (ベヨネッタ),2018.2.17
279,ご当地鉄道 for Nintendo Switch !!,2018.2.22
280,エース・オブ・シーフード,2018.2.22
281,おじいちゃんの記憶を巡る旅,2018.2.22
282,レイマン レジェンド for Nintendo Switch,2018.2.22
283,アケアカNEOGEO マジカルドロップ3,2018.2.22
284,Conga Master Cruisin,2018.2.22
285,アーケードアーカイブス 妖獣伝,2018.2.22
286,パックマン チャンピオンシップ エディション2 プラス,2018.2.22
287,ニューロボイダー,2018.2.22
288,ドラゴンシンカー,2018.2.22
289,Dear My Abyss,2018.2.22
290,協撃　カルテットファイターズ,2018.2.22
291,ダマスカスギヤ東京始戦,2018.3.1
292,アケアカNEOGEO 戦国伝承2,2018.3.1
293,ドラゴンクエストビルダーズ　アレフガルドを復活せよ,2018.3.1
294,超獣ギガ大戦,2018.3.1
295,ポイソフトのズン ～アツいトランプ～,2018.3.1
296,パケットクイーン＃,2018.3.1
297,返校 -Detention-,2018.3.1
298,数学力王　中学１年,2018.3.1
299,数学力王　中学２年,2018.3.1
300,数学力王　中学３年,2018.3.1
301,Little Triangle（リトル トライアングル）,2018.3.1
302,Slain: Back from Hell,2018.3.1
303,アーケードアーカイブス　スターフォース,2018.3.1
304,キュービックペイント,2018.3.1
305,DOOM,2018.3.1
306,Mercenary Kings Reloaded Edition,2018.3.8
307,Flinthook,2018.3.8
308,あなたの四騎姫教導譚,2018.3.8
309,HANDY麻雀,2018.3.8
310,アケアカNEOGEO リアルバウト餓狼伝説,2018.3.8
311,タートルポップ: 自由への旅,2018.3.8
312,おしゃべり！ホリジョ！,2018.3.8
313,逆転吉原～扇屋編～,2018.3.8
314,ゴルフストーリー,2018.3.9
315,進撃の巨人２,2018.3.15
316,ワールドネバーランド エルネア王国の日々,2018.3.15
317,アケアカNEOGEO ソニックウィングス3,2018.3.15
318,パーティＢＩＮＧＯ,2018.3.15
319,Guilt Battle Arena 罪悪感バトルアリーナ,2018.3.15
320,二角取り: 鏡花水月,2018.3.15
321,ぎゃる☆がん２,2018.3.15
322,星のカービィ　スターアライズ,2018.3.16
323,PSO2 ニュージェネシス クラウド,2018.3.20
324,アケアカNEOGEO ワールドヒーローズ2 JET,2018.3.22
325,Bit Dungeon+,2018.3.22
326,ゼルダ無双 ハイラルオールスターズ DX,2018.3.22
327,Monster Energy Supercross - The Official Videogame (モンスターエナジースーパークロス　オフィシャルビデオゲーム),2018.3.22
328,原始人 うぉーりあーず,2018.3.22
329,プリパラ　オールアイドルパーフェクトステージ！,2018.3.22
330,イートビート デッドスパイクさん,2018.3.22
331,アーケードアーカイブス ムーンパトロール,2018.3.22
332,OPUS-魂の架け橋,2018.3.22
333,ソルディバイド for Nintendo Switch,2018.3.22
334,蒼の彼方のフォーリズム for Nintendo Switch,2018.3.29
335,ザ フレイム イン ザ フラッド：Complete Edition,2018.3.29
336,ガチャレーシング2nd,2018.3.29
337,ClusterPuck 99（クラスタパック 99）,2018.3.29
338,アケアカNEOGEO 戦国伝承2001,2018.3.29
339,ハッピーバースデイズ,2018.3.29
340,帝國カレイド-万華の革命-,2018.3.29
341,ロードランナー・レガシー,2018.3.29
342,Layers of Fear: Legacy (レイヤーズ・オブ・フィアー：レガシー),2018.3.29
343,バートラム・フィドルの冒険 エピソード1：霊刻なる事件,2018.3.29
344,戦国ブレード for Nintendo Switch,2018.3.29
345,真・電愛「なにが欲しいの？」 ～北見えり～,2018.3.29
346,アーケードアーカイブス パンチアウト!!,2018.3.30
347,アケアカNEOGEO サムライスピリッツ 斬紅郎無双剣,2018.4.5
348,Aqua Kitty UDX,2018.4.5
349,うごくジグソーパズル　日本の風景コレクション,2018.4.5
350,ドラゴンブレイズ for Nintendo Switch,2018.4.5
351,サリーの法則,2018.4.5
352,アンエピック,2018.4.5
353,アーケードアーカイブス　忍者くん　魔城の冒険,2018.4.5
354,スナックワールド トレジャラーズ ゴールド,2018.4.12
355,ロジック麻雀 創龍 四人打ち・三人打ち,2018.4.12
356,Black The Fall（ブラック・ザ・フォール）,2018.4.12
357,アケアカNEOGEO ぐるりん,2018.4.12
358,アスディバインハーツ,2018.4.12
359,ドローンファイト,2018.4.12
360,ネオアトラス1469,2018.4.19
361,アケアカNEOGEO リアルバウト餓狼伝説スペシャル,2018.4.19
362,WILD GUNS Reloaded,2018.4.19
363,ポータルナイツ,2018.4.19
364,ニンジャストライカー！,2018.4.19
365,Voxel Shot for Nintendo Switch（ボクセルショット）,2018.4.19
366,グレコからの挑戦状！計算の城とオバケたち　たし算,2018.4.19
367,グレコからの挑戦状！計算の城とオバケたち　ひき算,2018.4.19
368,真・電愛｢みんなあげる！」 ～さくらえま～,2018.4.19
369,Nintendo Labo Toy-Con 01: Variety Kit(バラエティ キット),2018.4.20
370,Nintendo Labo Toy-Con 02: Robot Kit(ロボット キット),2018.4.20
371,Manticore - Galaxy on Fire,2018.4.20
372,KORG Gadget for Nintendo Switch,2018.4.26
373,NARUTO－ナルト－ 疾風伝　ナルティメットストームトリロジー for Nintendo Switch,2018.4.26
374,NARUTO－ナルト－　ナルティメットストーム,2018.4.26
375,NARUTO－ナルト－ 疾風伝　ナルティメットストーム２,2018.4.26
376,NARUTO－ナルト－ 疾風伝　ナルティメットストーム３,2018.4.26
377,Light Fall,2018.4.26
378,MAX マジックマーカーと兄弟の絆,2018.4.26
379,剣と魔法と学園モノ。Anniversary Edition,2018.4.26
380,キューブクリエイターX,2018.4.26
381,世界一長い５分間,2018.4.26
382,SDガンダム ジージェネレーション ジェネシス for Nintendo Switch,2018.4.26
383,プリンセスは金の亡者,2018.4.26
384,不如帰 大乱,2018.4.26
385,アケアカNEOGEO ゴーストパイロット,2018.4.26
386,Vesta,2018.4.26
387,Jotun: Valhalla Edition,2018.4.26
388,12 orbits,2018.4.26
389,Woodle Tree Adventures Deluxe,2018.4.26
390,金沢将棋 ～レベル300～,2018.4.26
391,Buddy Collection if －宿命の赤い糸－,2018.4.26
392,SKYPEACE,2018.4.26
393,妖かし恋戯曲,2018.4.26
394,グレコからの挑戦状！計算の城とオバケたち　かけ算,2018.4.26
395,グレコからの挑戦状！計算の城とオバケたち　わり算,2018.4.26
396,アーケードアーカイブス 10ヤードファイト,2018.5.2
397,アケアカNEOGEO ステークスウィナー,2018.5.2
398,ドンキーコング トロピカルフリーズ,2018.5.3
399,刑事J.B.ハロルドの事件簿　キス・オブ・マーダー,2018.5.3
400,純・電愛｢私の瞳を見て！｣ ～山内もえ～,2018.5.3
401,Yono (ヨノ),2018.5.3
402,カドバトうぉーず！,2018.5.3
403,ROCK'NRACING GRAND PRIX,2018.5.3
404,Immortal Redneck,2018.5.10
405,おきらく大富豪SP,2018.5.10
406,アペリオン・サイバーストーム,2018.5.10
407,Nihilumbra ニヒラブラ,2018.5.10
408,アーケードアーカイブス テラクレスタ,2018.5.10
409,Celeste,2018.5.10
410,BLAZBLUE CROSS TAG BATTLE 特別体験版,2018.5.11
411,Wizard of Legend,2018.5.15
412,フェアルーンコレクション,2018.5.17
413,アケアカNEOGEO ベースボールスターズプロフェッショナル,2018.5.17
414,ドタバタ調理アクション IT系ラーメン どらす,2018.5.17
415,進化のひみつ,2018.5.17
416,銀星チェス,2018.5.17
417,PixelJunk™ モンスターズ2,2018.5.24
418,ラビ×ラビ-パズルアウトストーリーズ-,2018.5.24
419,ロックマン クラシックス コレクション,2018.5.24
420,みんなで大富豪,2018.5.24
421,ロックマン クラシックス コレクション 2,2018.5.24
422,Tachyon Project,2018.5.24
423,アーケードアーカイブス いっき,2018.5.24
424,アーバントライアル プレイグラウンド,2018.5.24
425,脱出ゲーム Aloha ハワイの海に浮かぶ家,2018.5.24
426,アケアカNEOGEO トッププレイヤーズゴルフ,2018.5.24
427,ゼンバウンド 2,2018.5.24
428,白衣性愛情依存症,2018.5.24
429,スーパースポーツマチェン,2018.5.24
430,Bloodstained: Curse of the Moon,2018.5.24
431,ブロック ビルダー SP,2018.5.24
432,BIOHAZARD 7 resident evil cloud version,2018.5.24
433,Yoku's Island Express,2018.5.29
434,Fallen Legion -栄光への系譜-,2018.5.29
435,斑鳩 IKARUGA,2018.5.30
436,ポケモンクエスト,2018.5.30
437,BLAZBLUE CROSS TAG BATTLE,2018.5.31
438,シャンティ：ハーフ・ジーニー ヒーロー アルティメット・エディション,2018.5.31
439,嘘つき姫と盲目王子,2018.5.31
440,ワープシフト,2018.5.31
441,アケアカNEOGEO ニンジャコンバット,2018.5.31
442,FRAMED Collection,2018.5.31
443,そんぐぶりんがー,2018.5.31
444,落雨落葉　Defoliation,2018.5.31
445,Lost Sea,2018.5.31
446,机でサッカー,2018.5.31
447,DUNGEON RUSHERS,2018.5.31
448,Furi（フリー）,2018.5.31
449,ICEY,2018.5.31
450,LITTLE NIGHTMARES-リトルナイトメア- Deluxe Edition,2018.6.7
451,魔法の女子高生,2018.6.7
452,Just Shapes & Beats,2018.6.7
453,サムライディフェンダー　〜戦国合戦アクション〜,2018.6.7
454,THE 数字パズル,2018.6.7
455,アケアカNEOGEO ライディングヒーロー,2018.6.7
456,イロ・ヒーロー,2018.6.7
457,GEKIDO,2018.6.7
458,Floor Kids,2018.6.7
459,Stikbold! ドッジボールアドベンチャー！DELUXE,2018.6.7
460,超回転 寿司ストライカー The Way of Sushido,2018.6.8
461,Hollow Knight (ホロウナイト）,2018.6.13
462,フォートナイト バトルロイヤル,2018.6.13
463,Paladins,2018.6.13
464,GOD WARS 日本神話大戦,2018.6.14
465,インナースペース,2018.6.14
466,ノーヒーローズ・ヒア,2018.6.14
467,ホイップ！ ホイップ！,2018.6.14
468,ツインロボット DX,2018.6.14
469,エース・オブ・ルフトバッフェ -スクアドロン-,2018.6.14
470,シスターズロワイヤル　５姉妹に嫌がらせを受けて困っています,2018.6.14
471,アルケミックジョスト,2018.6.14
472,Yooka-Laylee（ユーカレイリー）,2018.6.14
473,R.B.I. Baseball 18,2018.6.14
474,Lanota,2018.6.14
475,Dandy Shot,2018.6.14
476,アーケードアーカイブス ドンキーコング,2018.6.15
477,OCTOPATH TRAVELER Prologue Demo,2018.6.15
478,Minecraft,2018.6.21
479,アケアカNEOGEO 幕末浪漫第二幕 月華の剣士 ～月に咲く華、散りゆく花～,2018.6.21
480,THE 麻雀,2018.6.21
481,RADIATION ISLAND,2018.6.21
482,Robonauts ロボノーツ,2018.6.21
483,ガンバード２ for Nintendo Switch,2018.6.21
484,Super Toy Cars,2018.6.21
485,6180 the moon,2018.6.21
486,戦国姫歌～時果の契り～,2018.6.21
487,マリオテニス エース,2018.6.22
488,LUMINES REMASTERED（ルミネス リマスター）,2018.6.26
489,イースVIII -Lacrimosa of DANA-,2018.6.28
490,THE 麻雀 LITE,2018.6.28
491,死印,2018.6.28
492,シリアルクリーナー　ジョージの裏シゴト,2018.6.28
493,マンティス・バーン・レーシング,2018.6.28
494,殺戮の天使,2018.6.28
495,アケアカNEOGEO マネーアイドルエクスチェンジャー,2018.6.28
496,サバイブ！ミスター・キューブ,2018.6.28
497,ミッドナイトDX,2018.6.28
498,LIMBO,2018.6.28
499,INSIDE,2018.6.28
500,アーケードアーカイブス　熱血硬派くにおくん,2018.6.28
501,Burly Men at Sea: 三人の海の男,2018.6.28
502,ネコぱらVol.1　ソレイユ開店しました！,2018.7.4
503,Ultra Space Battle Brawl,2018.7.5
504,Yonder 青と大地と雲の物語,2018.7.5
505,ASSAULT GUNNERS HD EDITION,2018.7.5
506,Disease -ディジーズ-,2018.7.5
507,パンカプ～オムニアの防人,2018.7.5
508,アケアカNEOGEO サムライスピリッツ零,2018.7.5
509,スチームワールドディグ,2018.7.5
510,本格AI搭載 銀星麻雀,2018.7.5
511,Legendary Eleven,2018.7.5
512,ホットギミック コスプレ雀 for Nintendo Switch,2018.7.5
513,20XX,2018.7.10
514,送り犬,2018.7.12
515,シャイニング・レゾナンス リフレイン,2018.7.12
516,スチームワールドハイスト,2018.7.12
517,モザイクアート Fill-a-Pix DELUXE,2018.7.12
518,ラジオハンマーステーション,2018.7.12
519,アケアカNEOGEO ザ・スーパースパイ,2018.7.12
520,ザ・トレイル：フロンティアチャレンジ,2018.7.12
521,Another World,2018.7.12
522,Pode,2018.7.12
523,スーパーデストロノートDX,2018.7.12
524,OCTOPATH TRAVELER,2018.7.13
525,進め！キノピオ隊長,2018.7.13
526,ハングリー シャーク ワールド,2018.7.17
527,Mugsters,2018.7.17
528,太鼓の達人 Nintendo Switchば～じょん！,2018.7.19
529,VERTICAL STRIKE ENDLESS CHALLENGE,2018.7.19
530,CLOSED NIGHTMARE,2018.7.19
531,Toki Tori（トキ・トリ）,2018.7.19
532,アケアカNEOGEO リーグボウリング,2018.7.19
533,スターシップアベンジャー 地球奪還大作戦,2018.7.19
534,シフトクアンタム Shift Quantum,2018.7.19
535,ジュラシック　ピンボール,2018.7.19
536,アーケードアーカイブス シティコネクション,2018.7.19
537,ワールドサッカー　ピンボール,2018.7.19
538,アーケードアーカイブス スカイスキッパー,2018.7.20
539,Semblance,2018.7.24
540,Dimension Drive,2018.7.26
541,ロックマンX アニバーサリー コレクション,2018.7.26
542,ロックマンX アニバーサリー コレクション 2,2018.7.26
543,アケアカNEOGEO ザ・キング・オブ・ファイターズ '97,2018.7.26
544,わくわくどうぶつランド,2018.7.26
545,東方蒼神縁起V,2018.7.26
546,ルカノール伯爵,2018.7.26
547,ひぐらしのなく頃に奉,2018.7.26
548,魔界戦記ディスガイア Refine,2018.7.26
549,Crossing Souls,2018.7.26
550,GREEN,2018.7.26
551,XEODRIFTER(ゼオドリフター),2018.7.26
552,ピクセル ライン DX ニューパズル５００！,2018.7.26
553,海のカケラ,2018.7.26
554,アーケードアーカイブス オメガファイター,2018.7.26
555,Wolfenstein® II: The New Colossus™,2018.7.26
